article_id,article_name,target_group,category,supplier_name,brand,original_price,actual_price,article_url,image_url,article_index
TO121D0XT-K11,SLIM BOAT TOP - Longsleeve - breton/white desert sky,WOMEN,T_SHIRT_TOP,SLIM BOAT TOP,Tommy Hilfiger,4995,4265,https://www.zalando.nl/tommy-hilfiger-longsleeve-bretonwhite-desert-sky-to121d0xt-k11.html,https://img01.ztat.net/article/spp-media-p1/886e3417e809442197a9fe0ef61550e5/43bd8db469714f87995f804bde23033e.jpg?imwidth=600&filter=packshot,542
EV421D1B2-Q11,Longsleeve - black,WOMEN,T_SHIRT_TOP,Longsleeve,Even&Odd,1499,1499,https://www.zalando.nl/evenandodd-longsleeve-black-ev421d1b2-q11.html,https://img01.ztat.net/article/spp-media-p1/2c2461d3410e3cd081ad2a863ba26ca2/1f5338f320ca4e57b885032ef5659679.jpg?imwidth=600&filter=packshot,543
ONA21N032-C11,CARAUGUSTA LIFE - Jeans Skinny Fit - dark grey denim,WOMEN,TROUSER,CARAUGUSTA LIFE,ONLY Carmakoma,3499,2809,https://www.zalando.nl/only-carmakoma-caraugusta-life-jeans-skinny-fit-dark-grey-denim-ona21n032-c11.html,https://img01.ztat.net/article/spp-media-p1/e36df7db83083a13acdd3d06035fb95c/b0e44b49d46d49a7b60ab4b64ea609d3.jpg?imwidth=600&filter=packshot,544
M9121B1F6-Q11,FIRE - Minirok - noir,WOMEN,SKIRT,FIRE,Mango,2999,2999,https://www.zalando.nl/mango-minirok-noir-m9121b1f6-q11.html,https://img01.ztat.net/article/spp-media-p1/0156136a15dd4bfeacaeab17a346bdfe/44dbd2a967374462960fc6c67014378a.jpg?imwidth=600&filter=packshot,545
BEJ21N0A8-Q11,Relaxed fit jeans - black,WOMEN,TROUSER,Relaxed fit jeans,Bershka,1999,1999,https://www.zalando.nl/bershka-relaxed-fit-jeans-black-bej21n0a8-q11.html,https://img01.ztat.net/article/spp-media-p1/020ad7c08e104879ba361e09bb09ba2a/d297ec8d3026484c8085ddd6eb140edb.jpg?imwidth=600&filter=packshot,546
PI922E03I-Q11,Trainingsbroek - black,MEN,TROUSER,Trainingsbroek,Pier One,1999,1699,https://www.zalando.nl/pier-one-trainingsbroek-black-pi922e03i-q11.html,https://img01.ztat.net/article/spp-media-p1/d61ee156c7dd4ee4afba7c90dea21c0d/530e3657bd784dfa8207111552b3a0fe.jpg?imwidth=600&filter=packshot,547
AD542E2IY-Q11,SL ESSENTIALS SPORTS FRENCH TERRY PANTS - Trainingsbroek - black,MEN,TROUSER,SL ESSENTIALS SPORTS FRENCH TERRY PANTS,adidas Performance,4995,4995,https://www.zalando.nl/adidas-performance-trainingsbroek-black-ad542e2iy-q11.html,https://img01.ztat.net/article/spp-media-p1/104e03d3b60b49d49f6392cf90d8a76e/fb5eca13d80c4d1c83461074bb4331b6.jpg?imwidth=600&filter=packshot,548
PI922O0D5-Q11,T-shirt print - black,MEN,T_SHIRT_TOP,T-shirt print,Pier One,999,749,https://www.zalando.nl/pier-one-tee-scribble-t-shirt-print-pi922o0d5-q11.html,https://img01.ztat.net/article/spp-media-p1/3faf5630b46530b1a7e4ac7e58847909/27d21b6dfe9f42e6954bb1748a72b838.jpg?imwidth=600&filter=packshot,549
N1241E18R-K12,ONE - Legging - dark blue,WOMEN,TROUSER,ONE,Nike Performance,3995,3995,https://www.zalando.nl/nike-performance-legging-dark-blue-n1241e18r-k12.html,https://img01.ztat.net/article/spp-media-p1/3fd4212c5b183fd597b86678c2236529/90d254242fb04bae83eb6e5a6779defe.jpg?imwidth=600&filter=packshot,550
THC22T00U-Q11,Halflange jas - schwarz,MEN,COAT,Mantel,Threadbare,9999,6999,https://www.zalando.nl/threadbare-mantel-schwarz-thc22t00u-q11.html,https://img01.ztat.net/article/spp-media-p1/c9be7716d0b43e5db3a573cfc4b8be3c/a4cd366450b0419f9b6601fe77c70ee3.jpg?imwidth=600&filter=packshot,551
GS121N0EN-K11,Straight leg jeans - indigo aged,WOMEN,TROUSER,Straight leg jeans,G-Star,9995,6995,https://www.zalando.nl/g-star-kate-boyfriend-relaxed-fit-jeans-gs121n0en-k11.html,https://img01.ztat.net/article/spp-media-p1/9c486d6ab72f32b5ac23e3c01a8a77c1/a5bb4259fe4a469486ff0cb14a84d9c3.jpg?imwidth=600&filter=packshot,552
TO124G05T-K12,BOYS BASIC  - T-shirt basic - royalblau,KIDS,T_SHIRT_TOP,BOYS BASIC,Tommy Hilfiger,1495,1275,https://www.zalando.nl/tommy-hilfiger-boys-basic-t-shirt-basic-to124g05t-k12.html,https://img01.ztat.net/article/spp-media-p1/e5b8a613e03c3b77b37bbf84afa281b9/0a24e6f3a7e74dbbad01c39e82c2cd08.jpg?imwidth=600&filter=packshot,553
BRH22O02G-C11,RAVEN - T-shirt print - grey,MEN,T_SHIRT_TOP,RAVEN,Brave Soul,1695,1360,https://www.zalando.nl/brave-soul-raven-t-shirt-print-grey-brh22o02g-c11.html,https://img01.ztat.net/article/spp-media-p1/e896dd6d1e6e3f38bf5bb907d60e4e62/3902a767c84f406a9054c4d81d72996d.jpg?imwidth=600&filter=packshot,554
ON321N1T3-K11,ONLERICA LIFE ANKLE CUT - Straight leg jeans - medium blue denim,WOMEN,TROUSER,ONLERICA LIFE ANKLE CUT,ONLY,3999,3999,https://www.zalando.nl/only-onlerica-life-ankle-cut-straight-leg-jeans-medium-blue-denim-on321n1t3-k11.html,https://img01.ztat.net/article/spp-media-p1/d34c06d84db54cff88a3485e48b54b66/cda876f65c7249e18dc5912d170da876.jpg?imwidth=600&filter=packshot,555
AN621C1JZ-M11,Gebreide jurk - deep teal,WOMEN,DRESS,Etui-jurk,Anna Field,3999,3199,https://www.zalando.nl/anna-field-gebreide-jurk-deep-teal-an621c1jz-m11.html,https://img01.ztat.net/article/spp-media-p1/879a65376547359bafde9625cd8ecb44/e8c1bdc054594d3a8e48661b797e174b.jpg?imwidth=600&filter=packshot,556
