article_id,article_name,target_group,category,supplier_name,brand,original_price,actual_price,article_url,image_url
GS121N0EM-C11,MID SKINNY  - Jeans Skinny Fit - sun faded grey,WOMEN,TROUSER,MID SKINNY,G-Star,10995,9895,https://www.zalando.nl/g-star-3301-mid-skinny-jeans-skinny-fit-sun-faded-grey-gs121n0em-c11.html,https://img01.ztat.net/article/spp-media-p1/37edf133d02e307abf0587aeac78726e/4e4b38a7e46c4f8bb849fdc6f64c1290.jpg?imwidth=103&filter=packshot
PI922P00X-G11,Poloshirt - bordeaux,MEN,T_SHIRT_TOP,Poloshirt,Pier One,1499,1499,https://www.zalando.nl/pier-one-poloshirt-bordeaux-pi922p00x-g11.html,https://img01.ztat.net/article/spp-media-p1/3e487a9ac1dd33a79a097ea4885ad1d9/66ab3a3999754ecb9f26eb3b17871d1a.jpg?imwidth=103&filter=packshot
YO122E00V-N11,Cargobroek - olive,MEN,TROUSER,Cargobroek,Pier One,3499,3499,https://www.zalando.nl/yourturn-cargobroek-olive-yo122e00v-n11.html,https://img01.ztat.net/article/spp-media-p1/1c2b8cca26d339e8a8124e012d018a66/e5ad62f690cc43f3816fcbee7f2c4dc2.jpg?imwidth=103&filter=packshot
AN621C1KC-Q11,BOAT NECK PRINT DRESS WITH SOLID SKIRT - Jerseyjurk - black/white,WOMEN,DRESS,BOAT NECK PRINT DRESS WITH SOLID SKIRT,Anna Field,2799,2799,https://www.zalando.nl/anna-field-boat-neck-print-dress-with-solid-skirt-jurk-blackwhite-an621c1kc-q11.html,https://img01.ztat.net/article/spp-media-p1/5cc4ec75edfd3f4883663b761c524a9a/c9ad2ac6aeb84e0990ef2fa07f3442d7.jpg?imwidth=103&filter=packshot
NA823L0PZ-A11,ALFA - Jas - peyote,KIDS,COAT,ALFA,Name it,3999,3999,https://www.zalando.nl/name-it-softshelljas-peyote-na823l0pz-a11.html,https://img01.ztat.net/article/spp-media-p1/8218c790f87d411eb5e9ed0a22111db7/abc9980c3300431a8f81a211aacef2ae.jpg?imwidth=103&filter=packshot
THC22E018-M11,Trainingsbroek - khaki,MEN,TROUSER,Trainingsbroek,Threadbare,4999,2999,https://www.zalando.nl/threadbare-trainingsbroek-khaki-thc22e018-m11.html,https://img01.ztat.net/article/spp-media-p1/b8ee22d06923494ca9aa31c042b14680/50283ac8310d496cafa5d8a793265560.jpg?imwidth=103
C6F22O04U-A11,T-shirt basic - white,MEN,T_SHIRT_TOP,T-shirt basic,C&A,599,599,https://www.zalando.nl/canda-t-shirt-basic-white-c6f22o04u-a11.html,https://img01.ztat.net/article/spp-media-p1/06dfb23cf5aa4c139881ef1b9f8c68e1/2dcd5453d23946f9a7af6490932e3597.jpg?imwidth=103&filter=packshot
PE321N086-K11,PCKESIA MOM - Relaxed fit jeans - dark blue denim,WOMEN,TROUSER,PCKESIA MOM,Pieces,3999,3999,https://www.zalando.nl/pieces-pckesia-mom-relaxed-fit-jeans-dark-blue-denim-pe321n086-k11.html,https://img01.ztat.net/article/spp-media-p1/a399d050788b409c96540012fed2ea9a/1e0637c3691a4e27b39ba5658d9d6093.jpg?imwidth=103&filter=packshot
AN621C1IN-M11,Jerseyjurk - scarab,WOMEN,DRESS,Jerseyjurk,Anna Field,2799,2799,https://www.zalando.nl/anna-field-jerseyjurk-scarab-an621c1in-m11.html,https://img01.ztat.net/article/spp-media-p1/f7dc77134be23dc099f4ce0fa97fe494/cae3f4c42bdd488e9a26efde06852cac.jpg?imwidth=103&filter=packshot
R5921G068-N11,JOTTY - Korte jassen - olive,WOMEN,COAT,JOTTY,Ragwear,9995,9995,https://www.zalando.nl/ragwear-jotty-korte-jassen-olive-r5921g068-n11.html,https://img01.ztat.net/article/spp-media-p1/137445b9d41a4604b4450d295e4c1426/36ad9abd9ac0498094a35ce42a9973ca.jpg?imwidth=103&filter=packshot
